"STATION","NAME","DATE","PRCP","SNOW","SNWD","TMAX","TMIN"
"CA007027320","MONTREAL ST HUBERT A, QC CA","1928-08-01","0.00","0.0",,"81","56"
"CA007027320","MONTREAL ST HUBERT A, QC CA","1928-08-02","0.00","0.0",,"77","53"
"CA007027320","MONTREAL ST HUBERT A, QC CA","1928-08-03","0.35","0.0",,"76","61"
"CA007027320","MONTREAL ST HUBERT A, QC CA","1928-08-04","1.17","0.0",,"79","62"
"CA007027320","MONTREAL ST HUBERT A, QC CA","1928-08-05","0.00","0.0",,,
"CA007027320","MONTREAL ST HUBERT A, QC CA","1928-08-06","0.00","0.0",,"76","54"
"CA007027320","MONTREAL ST HUBERT A, QC CA","1928-08-07","0.00","0.0",,"68","54"
"CA007027320","MONTREAL ST HUBERT A, QC CA","1928-08-08","0.75","0.0",,"81","62"
"CA007027320","MONTREAL ST HUBERT A, QC CA","1928-08-09","0.00","0.0",,"82","62"
"CA007027320","MONTREAL ST HUBERT A, QC CA","1928-08-10","0.00","0.0",,"85","53"
"CA007027320","MONTREAL ST HUBERT A, QC CA","1928-08-11","0.30","0.0",,"81","57"
"CA007027320","MONTREAL ST HUBERT A, QC CA","1928-08-12","0.00","0.0",,,
"CA007027320","MONTREAL ST HUBERT A, QC CA","1928-08-13","0.00","0.0",,"88","55"
"CA007027320","MONTREAL ST HUBERT A, QC CA","1928-08-14","0.00","0.0",,"90","59"
"CA007027320","MONTREAL ST HUBERT A, QC CA","1928-08-15","0.00","0.0",,"88","61"
"CA007027320","MONTREAL ST HUBERT A, QC CA","1928-08-16","0.00","0.0",,"90","61"
"CA007027320","MONTREAL ST HUBERT A, QC CA","1928-08-17","0.05","0.0",,"90","68"
"CA007027320","MONTREAL ST HUBERT A, QC CA","1928-08-18","0.00","0.0",,"81","67"
"CA007027320","MONTREAL ST HUBERT A, QC CA","1928-08-19","0.00","0.0",,,
"CA007027320","MONTREAL ST HUBERT A, QC CA","1928-08-20","0.00","0.0",,"80","58"
"CA007027320","MONTREAL ST HUBERT A, QC CA","1928-08-21","0.20","0.0",,"81","54"
"CA007027320","MONTREAL ST HUBERT A, QC CA","1928-08-22","0.00","0.0",,"75","61"
"CA007027320","MONTREAL ST HUBERT A, QC CA","1928-08-23","0.00","0.0",,"82","53"
"CA007027320","MONTREAL ST HUBERT A, QC CA","1928-08-24","0.80","0.0",,"80","58"
"CA007027320","MONTREAL ST HUBERT A, QC CA","1928-08-25","0.04","0.0",,"78","64"
"CA007027320","MONTREAL ST HUBERT A, QC CA","1928-08-26","0.00","0.0",,"82","54"
"CA007027320","MONTREAL ST HUBERT A, QC CA","1928-08-27","0.00","0.0",,"92","52"
"CA007027320","MONTREAL ST HUBERT A, QC CA","1928-08-28","0.00","0.0",,"88","60"
"CA007027320","MONTREAL ST HUBERT A, QC CA","1928-08-29","0.00","0.0",,"81","63"
"CA007027320","MONTREAL ST HUBERT A, QC CA","1928-08-30","0.05","0.0",,"82","62"
"CA007027320","MONTREAL ST HUBERT A, QC CA","1928-08-31","0.11","0.0",,"69","52"
"CA007027320","MONTREAL ST HUBERT A, QC CA","1928-09-01","0.00","0.0",,"69","39"
"CA007027320","MONTREAL ST HUBERT A, QC CA","1928-09-02","0.00","0.0",,"75","49"
"CA007027320","MONTREAL ST HUBERT A, QC CA","1928-09-03","0.66","0.0",,"64","56"
"CA007027320","MONTREAL ST HUBERT A, QC CA","1928-09-04","0.00","0.0",,"68","54"
"CA007027320","MONTREAL ST HUBERT A, QC CA","1928-09-05","0.00","0.0",,"69","51"
"CA007027320","MONTREAL ST HUBERT A, QC CA","1928-09-06","0.00","0.0",,"76","43"
"CA007027320","MONTREAL ST HUBERT A, QC CA","1928-09-07","0.00","0.0",,"79","43"
"CA007027320","MONTREAL ST HUBERT A, QC CA","1928-09-08","0.00","0.0",,"76","44"
