"STATION","NAME","DATE","CDSD","CLDD","DP01","DP10","DSND","DSNW","DT00","DT32","DX32","DX70","DX90","EMNT","EMSD","EMSN","EMXP","EMXT","HDSD","HTDD","PRCP","SNOW","TAVG","TMAX","TMIN"
"CA002101300","WHITEHORSE A, YT CA","1948-01","0","0","12","4",,"4","12","31","27","0","0","-20",,"3.3","0.33","43","6265","1582","0.97","9.7","14.0","21.8","6.2"
"CA002101300","WHITEHORSE A, YT CA","1948-02","0","0","13","4",,"4","22","29","28","0","0","-43",,"2.5","0.25","37","8256","1991","0.92","9.2","-3.6","5.5","-12.8"
"CA002101300","WHITEHORSE A, YT CA","1948-03","0","0","13","5",,"5","12","31","30","0","0","-26",,"3.5","0.35","39","9943","1688","1.43","14.3","10.5","20.8","0.3"
"CA002101300","WHITEHORSE A, YT CA","1948-04","0","0","15","5",,"5","4","30","12","0","0","-13",,"3.4","0.34","44","11198","1255","1.18","11.8","23.2","33.1","13.3"
"CA002101300","WHITEHORSE A, YT CA","1948-05","0","0","9","3",,"0","0","10","0","2","0","19",,"0.7","0.39","72","11788","589","0.99","1.2","46.0","56.6","35.4"
"CA002101300","WHITEHORSE A, YT CA","1948-06","10","10","8","1",,"0","0","1","0","11","0","32",,"0.0","0.31","86","12053","265","0.54","0.0","56.5","69.4","43.6"
"CA002101300","WHITEHORSE A, YT CA","1948-07","12","2","11","5",,"0","0","0","0","16","0","35",,"0.0","0.68","85","222","222","1.93","0.0","57.9","69.2","46.6"
"CA002101300","WHITEHORSE A, YT CA","1948-08","15","3","10","4",,"0","0","6","0","10","0","24",,"0.6","1.21","84","604","382","2.83","0.6","52.8","64.0","41.5"
"CA002101300","WHITEHORSE A, YT CA","1948-09","15","0","10","5",,"0","0","9","0","0","0","19",,"0.0","0.77","63","1256","651","1.68","0.0","43.3","51.3","35.2"
"CA002101300","WHITEHORSE A, YT CA","1948-10","15","0","2","0",,"0","0","22","0","0","0","16",,"0.1","0.03","52","2165","909","0.04","0.1","35.7","42.5","28.8"
"CA002101300","WHITEHORSE A, YT CA","1948-11","15","0","13","5",,"5","10","26","20","0","0","-41",,"3.3","0.33","51","3782","1618","1.15","11.4","11.1","16.7","5.4"
"CA002101300","WHITEHORSE A, YT CA","1948-12","15","0","7","0",,"0","26","31","31","0","0","-50",,"0.7","0.07","28","6112","2330","0.22","2.2","-10.2","-1.4","-18.9"
"CA002101300","WHITEHORSE A, YT CA","1949-01","0","0","12","2",,"2","20","30","23","0","0","-30",,"1.7","0.17","47","7926","1814","0.61","6.1","6.5","15.7","-2.8"
"CA002101300","WHITEHORSE A, YT CA","1949-02","0","0","11","0",,"0","22","28","25","0","0","-41",,"0.9","0.09","42","9903","1977","0.37","3.7","-5.6","3.2","-14.4"
"CA002101300","WHITEHORSE A, YT CA","1949-03","0","0","2","0",,"0","4","29","9","0","0","-12",,"0.9","0.09","46","11148","1244","0.10","1.0","24.9","35.5","14.2"
"CA002101300","WHITEHORSE A, YT CA","1949-04","0","0","5","0",,"0","0","27","0","0","0","19",,"0.5","0.05","51","12034","887","0.18","1.8","35.4","43.4","27.5"
"CA002101300","WHITEHORSE A, YT CA","1949-05","0","0","6","3",,"0","0","14","0","3","0","19",,"0.0","0.30","77","12691","656","0.68","0.0","43.8","55.0","32.6"
"CA002101300","WHITEHORSE A, YT CA","1949-06","0","0","11","3",,"0","0","2","0","1","0","30",,"0.0","0.29","73","13182","491","0.92","0.0","48.6","58.9","38.4"
"CA002101300","WHITEHORSE A, YT CA","1949-07","0","0","14","2",,"0","0","0","0","8","0","34",,"0.0","0.22","81","289","289","0.79","0.0","55.7","66.0","45.3"
"CA002101300","WHITEHORSE A, YT CA","1949-08","0","0","12","8",,"0","0","0","0","8","0","35",,"0.0","0.67","79","675","385","3.33","0.0","52.6","63.7","41.4"
"CA002101300","WHITEHORSE A, YT CA","1949-09","0","0","10","3",,"0","0","5","0","3","0","24",,"0.0","0.15","75","1186","511","0.61","0.0","48.0","56.8","39.1"
"CA002101300","WHITEHORSE A, YT CA","1949-10","0","0","12","4",,"4","0","25","6","0","0","2",,"1.7","0.17","48","2186","1000","0.91","7.3","32.7","38.9","26.5"
"CA002101300","WHITEHORSE A, YT CA","1949-11","0","0","12","3",,"1","1","24","18","0","0","-6",,"2.9","0.37","49","3331","1145","1.22","6.9","26.9","31.7","22.0"
"CA002101300","WHITEHORSE A, YT CA","1949-12","0","0","13","2",,"2","19","31","29","0","0","-49",,"1.2","0.12","34","5416","2085","0.52","5.2","-2.3","3.1","-7.6"
"CA002101300","WHITEHORSE A, YT CA","1950-01","0","0","22","5",,"5","25","31","31","0","0","-52",,"3.0","0.30","25","7672","2256","1.56","15.6","-7.8","0.9","-16.5"
"CA002101300","WHITEHORSE A, YT CA","1950-02","0","0","16","1",,"1","20","28","28","0","0","-36",,"1.5","0.15","28","9630","1958","0.62","6.2","-4.9","2.2","-12.1"
"CA002101300","WHITEHORSE A, YT CA","1950-03","0","0","1","0",,"0","7","31","15","0","0","-16",,"0.6","0.06","39","11039","1408","0.06","0.6","19.6","31.1","8.1"
"CA002101300","WHITEHORSE A, YT CA","1950-04","0","0","3","1",,"1","5","30","9","0","0","-12",,"2.5","0.25","50","12191","1152","0.32","3.2","26.6","36.0","17.2"
"CA002101300","WHITEHORSE A, YT CA","1950-05","0","0","4","1",,"0","0","14","0","0","0","25",,"0.0","0.16","63","12871","680","0.27","0.0","43.1","53.1","33.1"
"CA002101300","WHITEHORSE A, YT CA","1950-06","23","23","4","2",,"0","0","0","0","21","0","33",,"0.0","0.18","89","13083","211","0.41","0.0","58.7","71.8","45.6"
"CA002101300","WHITEHORSE A, YT CA","1950-07","23","0","12","5",,"0","0","0","0","7","0","37",,"0.0","0.53","79","301","301","1.62","0.0","55.3","65.3","45.2"
"CA002101300","WHITEHORSE A, YT CA","1950-08","23","0","8","4",,"0","0","3","0","12","0","31",,"0.0","0.23","81","611","309","0.90","0.0","55.0","67.1","43.0"
"CA002101300","WHITEHORSE A, YT CA","1950-09","23","0","5","3",,"0","0","5","0","2","0","23",,"0.0","0.24","71","1118","507","0.55","0.0","47.5","57.6","37.4"
"CA002101300","WHITEHORSE A, YT CA","1950-10","23","0","3","0",,"0","1","26","13","0","0","-1",,"0.5","0.05","56","2235","1117","0.10","0.7","29.0","37.1","20.8"
"CA002101300","WHITEHORSE A, YT CA","1950-11","23","0","15","3",,"3","19","30","25","0","0","-32",,"3.2","0.32","39","4160","1925","1.06","10.6","0.8","7.4","-5.7"
"CA002101300","WHITEHORSE A, YT CA","1950-12","23","0","18","5",,"5","19","31","31","0","0","-21",,"2.8","0.28","29","6011","1851","1.48","14.8","5.3","12.3","-1.7"
"CA002101300","WHITEHORSE A, YT CA","1951-01","0","0","10","0",,"0","25","31","29","0","0","-47",,"0.9","0.09","35","8326","2315","0.45","4.5","-9.7","-2.5","-16.8"
"CA002101300","WHITEHORSE A, YT CA","1951-02","0","0","10","0",,"0","19","28","27","0","0","-47",,"0.6","0.06","38","10186","1860","0.33","3.3","-1.4","7.9","-10.8"
"CA002101300","WHITEHORSE A, YT CA","1951-03","0","0","7","2",,"2","16","29","20","0","0","-36",,"2.9","0.29","46","11923","1736","0.70","7.0","9.0","20.1","-2.1"
"CA002101300","WHITEHORSE A, YT CA","1951-04","0","0","6","0",,"0","0","27","0","0","0","15",,"0.8","0.08","52","12818","895","0.16","1.6","35.2","43.4","26.9"
"CA002101300","WHITEHORSE A, YT CA","1951-05","0","0","7","2",,"0","0","10","0","0","0","21",,"0.0","0.31","67","13408","590","0.63","0.0","46.0","57.3","34.6"
"CA002101300","WHITEHORSE A, YT CA","1951-06","2","2","8","4",,"0","0","1","0","7","0","32",,"0.0","0.49","81","13765","357","1.04","0.0","53.2","63.8","42.6"
"CA002101300","WHITEHORSE A, YT CA","1951-07","31","28","9","0",,"0","0","0","0","24","1","41",,"0.0","0.09","91","129","129","0.39","0.0","61.8","74.7","48.8"
"CA002101300","WHITEHORSE A, YT CA","1951-08","31","0","7","2",,"0","0","0","0","14","0","37",,"0.0","0.27","81","383","254","0.67","0.0","56.8","68.6","45.0"
"CA002101300","WHITEHORSE A, YT CA","1951-09","31","0","7","1",,"0","0","5","0","5","0","20",,"0.6","0.14","75","819","436","0.37","0.6","50.5","59.6","41.3"
"CA002101300","WHITEHORSE A, YT CA","1951-10","31","0","7","3",,"1","5","25","16","0","0","-4",,"1.0","0.32","53","2031","1212","0.71","1.7","25.9","33.8","18.0"
