"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-66.54","45.87","FREDERICTON INTL A","8101505","2019-01-01","2019","01","01","","0.4","","-12.1","","-5.9","","23.9","","0.0","","","","","","0.4","","","","31","","58",""
"-66.54","45.87","FREDERICTON INTL A","8101505","2019-01-02","2019","01","02","","-11.1","","-23.0","","-17.1","","35.1","","0.0","","","","","","0.0","","","","27","","33",""
"-66.54","45.87","FREDERICTON INTL A","8101505","2019-01-03","2019","01","03","","-6.7","","-23.6","","-15.2","","33.2","","0.0","","","","","","0.0","","","","","M","","M"
"-66.54","45.87","FREDERICTON INTL A","8101505","2019-01-04","2019","01","04","","1.0","","-8.2","","-3.6","","21.6","","0.0","","","","","","3.1","","","","","M","","M"
"-66.54","45.87","FREDERICTON INTL A","8101505","2019-01-05","2019","01","05","","1.2","","-3.4","","-1.1","","19.1","","0.0","","","","","","4.6","","","","","M","","M"
"-66.54","45.87","FREDERICTON INTL A","8101505","2019-01-06","2019","01","06","","1.9","","-6.9","","-2.5","","20.5","","0.0","","","","","","4.8","","","","31","","63",""
"-66.54","45.87","FREDERICTON INTL A","8101505","2019-01-07","2019","01","07","","-6.9","","-18.2","","-12.6","","30.6","","0.0","","","","","","0.0","","","","29","","61",""
"-66.54","45.87","FREDERICTON INTL A","8101505","2019-01-08","2019","01","08","","-1.4","","-17.3","","-9.4","","27.4","","0.0","","","","","","0.0","","","","","M","","M"
"-66.54","45.87","FREDERICTON INTL A","8101505","2019-01-09","2019","01","09","","0.4","","-2.6","","-1.1","","19.1","","0.0","","","","","","1.8","","","","3","","48",""
"-66.54","45.87","FREDERICTON INTL A","8101505","2019-01-10","2019","01","10","","-1.4","","-4.8","","-3.1","","21.1","","0.0","","","","","","0.0","","","","27","","37",""
"-66.54","45.87","FREDERICTON INTL A","8101505","2019-01-11","2019","01","11","","-4.8","","-17.2","","-11.0","","29.0","","0.0","","","","","","0.0","","","","30","","52",""
"-66.54","45.87","FREDERICTON INTL A","8101505","2019-01-12","2019","01","12","","-12.4","","-20.4","","-16.4","","34.4","","0.0","","","","","","0.0","","","","28","","42",""
"-66.54","45.87","FREDERICTON INTL A","8101505","2019-01-13","2019","01","13","","-9.1","","-20.0","","-14.6","","32.6","","0.0","","","","","","0.0","","","","","M","","M"
"-66.54","45.87","FREDERICTON INTL A","8101505","2019-01-14","2019","01","14","","-8.7","","-24.8","","-16.8","","34.8","","0.0","","","","","","0.0","","","","","M","","M"
"-66.54","45.87","FREDERICTON INTL A","8101505","2019-01-15","2019","01","15","","-2.8","","-21.8","","-12.3","","30.3","","0.0","","","","","","0.0","","","","","M","","M"
"-66.54","45.87","FREDERICTON INTL A","8101505","2019-01-16","2019","01","16","","-2.2","","-22.2","","-12.2","","30.2","","0.0","","","","","","0.0","","","","26","","54",""
"-66.54","45.87","FREDERICTON INTL A","8101505","2019-01-17","2019","01","17","","-9.8","","-24.3","","-17.1","","35.1","","0.0","","","","","","0.0","","","","28","","45",""
"-66.54","45.87","FREDERICTON INTL A","8101505","2019-01-18","2019","01","18","","-2.1","","-23.9","","-13.0","","31.0","","0.0","","","","","","0.0","","","","26","","54",""
"-66.54","45.87","FREDERICTON INTL A","8101505","2019-01-19","2019","01","19","","-5.2","","-18.1","","-11.7","","29.7","","0.0","","","","","","0.0","","","","29","","46",""
"-66.54","45.87","FREDERICTON INTL A","8101505","2019-01-20","2019","01","20","","-0.6","","-17.8","","-9.2","","27.2","","0.0","","","","","","0.2","","","","4","","52",""
"-66.54","45.87","FREDERICTON INTL A","8101505","2019-01-21","2019","01","21","","-6.4","","-14.0","","-10.2","","28.2","","0.0","","","","","","0.0","","","","36","","39",""
"-66.54","45.87","FREDERICTON INTL A","8101505","2019-01-22","2019","01","22","","-9.3","","-16.2","","-12.8","","30.8","","0.0","","","","","","0.0","","","","31","","48",""
"-66.54","45.87","FREDERICTON INTL A","8101505","2019-01-23","2019","01","23","","-4.8","","-16.6","","-10.7","","28.7","","0.0","","","","","","0.0","","","","","M","","M"
